Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/12/2020 	_x86_64_	(32 CPU)

02/12/2020 10:13:34 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.46    0.00    7.58   15.22    0.00   73.73

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdo               0.00     0.00    4.67   20.00     0.05     0.17    18.27     0.07    3.01    2.64    3.10   2.84   7.00
sdn               0.00     0.00    4.33   20.33     0.05     0.16    17.19     0.07    3.00    2.62    3.08   2.89   7.13
sdm               0.00     0.00    1.67   25.33     0.01     0.20    15.41     0.08    2.95    2.60    2.97   2.84   7.67
sdr               0.00     0.00    1.67   22.67     0.01     0.18    15.67     0.07    2.95    2.40    2.99   2.73   6.63
sda               0.00     0.00    0.00    8.33     0.00     0.06    15.04     0.05    6.28    0.00    6.28   2.24   1.87
dm-0              0.00     0.00    0.00   13.00     0.00     0.07    11.49     0.07    5.08    0.00    5.08   2.08   2.70
sds               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdt               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdu               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdv               0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    1.89    1.00    3.67   1.89   0.57
dm-4              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    2.11    1.17    4.00   2.11   0.63
sdw               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdx               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdy               0.00     0.00    0.00   22.67     0.00     0.18    16.71     0.07    3.06    0.00    3.06   2.94   6.67
dm-7              0.00     0.00    0.00   22.67     0.00     0.18    16.71     0.07    3.15    0.00    3.15   3.03   6.87
sdz               0.00     0.00    0.00   27.00     0.00     0.21    16.00     0.08    3.02    0.00    3.02   2.74   7.40
dm-8              0.00     0.00    0.00   27.00     0.00     0.21    16.00     0.08    3.12    0.00    3.12   2.84   7.67
sdaa              0.00     0.00    0.00   20.33     0.00     0.16    16.00     0.06    3.18    0.00    3.18   2.98   6.07
dm-9              0.00     0.00    0.00   20.33     0.00     0.16    16.00     0.07    3.30    0.00    3.30   3.08   6.27
sdab              0.00     0.00    0.00   19.00     0.00     0.15    16.28     0.06    3.25    0.00    3.25   3.09   5.87
dm-10             0.00     0.00    0.00   19.00     0.00     0.15    16.28     0.06    3.39    0.00    3.39   3.18   6.03
sdac              0.00     0.00    0.00   23.67     0.00     0.18    16.00     0.07    3.07    0.00    3.07   2.85   6.73
dm-11             0.00     0.00    0.00   23.67     0.00     0.18    16.00     0.07    3.14    0.00    3.14   2.90   6.87
sdad              0.00     0.00    0.00   25.00     0.00     0.20    16.00     0.08    3.13    0.00    3.13   3.00   7.50
dm-12             0.00     0.00    0.00   25.00     0.00     0.20    16.00     0.08    3.25    0.00    3.25   3.12   7.80
sdae              0.00     0.00    0.00   24.67     0.00     0.20    16.22     0.08    3.26    0.00    3.26   3.15   7.77
dm-13             0.00     0.00    0.00   24.67     0.00     0.20    16.22     0.08    3.36    0.00    3.36   3.26   8.03
sdaf              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-14             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdag              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    1.89    1.00    3.67   1.89   0.57
dm-15             0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    2.00    1.00    4.00   2.00   0.60
sdah              0.00     0.00    0.00    0.33     0.00     0.01    32.00     0.00    4.00    0.00    4.00   4.00   0.13
dm-16             0.00     0.00    0.00    0.33     0.00     0.01    32.00     0.00    5.00    0.00    5.00   5.00   0.17
sdai              0.00     0.00    0.00   15.67     0.00     0.04     4.89     0.07    4.79    0.00    4.79   2.83   4.43
dm-17             0.00     0.00    0.00   15.67     0.00     0.04     4.89     0.08    4.91    0.00    4.91   2.89   4.53
sdaj              0.00     0.00    0.00   23.67     0.00     0.19    16.68     0.07    3.14    0.00    3.14   2.86   6.77
dm-18             0.00     0.00    0.00   23.67     0.00     0.19    16.68     0.08    3.25    0.00    3.25   2.96   7.00
sdak              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-19             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

02/12/2020 10:13:40 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.93    0.00    1.51    0.08    0.00   97.47

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdc               0.00     0.00    0.00   18.67     0.00     0.13    14.00     0.29   15.70    0.00   15.70   1.45   2.70
sdb               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sde               0.00     0.00    0.33    4.00     0.00     0.04    18.38     0.02    5.15    0.00    5.58   3.31   1.43
sdd               0.00     0.00    4.33    2.33     0.00     0.00     1.70     0.01    1.20    0.00    3.43   1.20   0.80
sdf               0.00     0.00    0.33    0.33     0.00     0.00     8.00     0.00    1.50    0.00    3.00   1.50   0.10
sdg               0.00     0.00    0.33    4.33     0.00     0.00     2.43     0.02    3.64    0.00    3.92   2.71   1.27
sdh               0.00     0.00    0.33    0.33     0.00     0.00     8.00     0.01   14.00   24.00    4.00  14.00   0.93
sdi               0.00     0.00    0.33    0.33     0.00     0.00     8.00     0.01   13.50   24.00    3.00  13.50   0.90
sdj               0.00     0.00    0.33    0.33     0.00     0.00     8.00     0.00    2.50    3.00    2.00   2.50   0.17
sdk               0.00     0.00    0.33    8.00     0.00     0.06    15.68     0.03    3.20    4.00    3.17   3.08   2.57
sdl               0.00     0.00    0.33    7.00     0.00     0.05    15.64     0.02    3.00    5.00    2.90   2.91   2.13
sdq               0.00     0.00    0.67    9.00     0.01     0.07    16.28     0.03    3.24    3.00    3.26   3.21   3.10
sdp               0.00     0.00    0.33    8.00     0.00     0.06    15.68     0.03    3.08    2.00    3.12   3.08   2.57
