Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/17/2020 	_x86_64_	(64 CPU)

02/17/2020 10:51:49 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.11    0.00    5.07    6.82    0.00   85.00

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdau              0.00     0.00    0.41   18.85     0.00     0.16    16.86     0.13    6.83    0.62    6.96   3.90   7.51
dm-24             0.00     0.00    0.19   18.85     0.00     0.16    16.96     0.13    7.06    0.65    7.12   3.99   7.60

02/17/2020 10:51:52 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.54    0.00    2.04    0.03    0.00   96.39

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdd               0.00     0.00    5.00    2.33     0.00     0.00     1.64     0.01    0.86    0.00    2.71   0.86   0.63
sdf               0.00     0.00    0.33    1.00     0.00     0.01    14.00     0.00    2.50    0.00    3.33   2.50   0.33
sdg               0.00     0.00    1.00    0.33     0.00     0.00    10.25     0.00    1.50    0.67    4.00   1.50   0.20
sdc               0.00     0.00    0.00    9.33     0.00     0.06    13.14     0.03    3.18    0.00    3.18   1.68   1.57
sdi               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdj               0.00     0.00    2.33    1.00     0.03     0.01    28.00     0.00    1.00    0.00    3.33   1.00   0.33
sdl               0.00     0.00    0.33    0.33     0.00     0.00    12.00     0.00    2.00    1.00    3.00   2.00   0.13
sdh               0.00     0.00    0.33    0.33     0.00     0.00    12.00     0.00    2.00    0.00    4.00   2.00   0.13
sdk               0.00     0.00    0.33    0.33     0.00     0.00    12.00     0.00    1.50    0.00    3.00   1.50   0.10
sdm               0.00     0.00    0.33    0.33     0.00     0.00     8.00     0.00    1.50    0.00    3.00   1.50   0.10
sdn               0.00     0.00    0.33    0.33     0.00     0.00    12.00     0.00    2.00    0.00    4.00   2.00   0.13
sde               0.00     0.00    0.67    0.00     0.00     0.00    12.00     0.00    0.50    0.50    0.00   0.50   0.03
sdo               0.00     0.00    3.00    0.00     0.04     0.00    29.33     0.00    0.11    0.11    0.00   0.11   0.03
sdp               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdq               0.00     0.00    1.67    0.00     0.01     0.00    17.80     0.00    0.40    0.40    0.00   0.40   0.07
sdr               0.00     0.00    0.33    0.67     0.00     0.01    13.33     0.00    1.67    0.00    2.50   1.67   0.17
sdt               0.00     0.00    1.67    0.33     0.02     0.00    25.33     0.00    0.83    0.20    4.00   0.83   0.17
sds               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
sdu               0.00     0.00    0.33   15.00     0.00     0.02     2.52     0.05    3.52    0.00    3.60   2.63   4.03
sdw               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdv               0.00     0.00    0.67   13.00     0.01     0.06     9.46     0.04    2.73    0.00    2.87   1.88   2.57
sda               0.00     0.00    0.00    2.00     0.00     0.01     8.00     0.01    3.33    0.00    3.33   2.83   0.57
dm-0              0.00     0.00    0.00    9.33     0.00     0.06    13.14     0.03    3.18    0.00    3.18   1.68   1.57
sdx               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdy               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdz               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdab              0.00     0.00    2.33    1.00     0.00     0.00     1.70     0.01    1.60    0.57    4.00   1.60   0.53
dm-5              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    1.78    0.67    4.00   1.78   0.53
sdac              0.00     0.00    2.33    0.67     0.00     0.00     1.78     0.00    1.22    0.43    4.00   1.22   0.37
dm-6              0.00     0.00    2.00    0.67     0.00     0.00     1.00     0.00    1.38    0.50    4.00   1.38   0.37
sdad              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-7              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdae              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
dm-8              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaf              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
dm-9              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdag              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
dm-10             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdah              0.00     0.00    0.33    0.33     0.00     0.01    20.00     0.00    2.00    0.00    4.00   2.00   0.13
dm-11             0.00     0.00    0.00    0.33     0.00     0.01    32.00     0.00    4.00    0.00    4.00   4.00   0.13
sdai              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-12             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaj              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
dm-13             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdak              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
dm-14             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdal              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-15             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdam              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-16             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdan              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-17             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdao              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
dm-18             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdap              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
dm-19             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaq              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-20             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdar              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-21             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdas              0.00     0.00    0.33    0.33     0.00     0.01    20.00     0.00    1.00    1.00    1.00   1.00   0.07
dm-22             0.00     0.00    0.00    0.33     0.00     0.01    32.00     0.00    1.00    0.00    1.00   1.00   0.03
sdat              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
dm-23             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdau              0.00     0.00    0.33   12.33     0.00     0.05     7.68     0.04    3.16    0.00    3.24   2.18   2.77
dm-24             0.00     0.00    0.00   12.33     0.00     0.05     7.68     0.04    3.32    0.00    3.32   2.27   2.80

02/17/2020 10:51:55 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.46    0.00    2.28    0.03    0.00   95.22

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdd               0.00     0.00    4.67    2.33     0.00     0.00     2.00     0.01    1.05    0.00    3.14   1.05   0.73
sdf               0.00     0.00    0.67    0.67     0.00     0.01    12.00     0.00    1.50    0.00    3.00   1.50   0.20
sdg               0.00     0.00    0.67    1.33     0.00     0.01    13.33     0.00    2.00    0.00    3.00   2.00   0.40
sdc               0.00     0.00    0.00   28.00     0.00     0.22    16.19     0.35   12.49    0.00   12.49   1.07   3.00
sdi               0.00     0.00    0.67    1.00     0.00     0.01    12.80     0.00    1.80    0.00    3.00   1.40   0.23
sdj               0.00     0.00    1.67    2.00     0.02     0.02    21.82     0.01    1.91    0.00    3.50   1.91   0.70
sdl               0.00     0.00    0.67    1.67     0.00     0.01    13.71     0.01    2.43    0.00    3.40   2.00   0.47
sdh               0.00     0.00    0.67    1.00     0.00     0.01    12.80     0.00    2.00    0.00    3.33   2.00   0.33
sdk               0.00     0.00    0.67    0.33     0.00     0.00    10.67     0.00    1.00    0.00    3.00   1.00   0.10
sdm               0.00     0.00    0.67    0.33     0.00     0.00     8.00     0.00    1.33    0.50    3.00   1.33   0.13
sdn               0.00     0.00    0.67    0.67     0.00     0.01    12.00     0.00    1.50    0.00    3.00   1.50   0.20
sde               0.00     0.00    1.33    1.33     0.01     0.01    12.12     0.01    1.88    0.25    3.50   1.88   0.50
sdo               0.00     0.00    1.33    0.67     0.01     0.01    18.67     0.00    1.00    0.00    3.00   1.00   0.20
sdp               0.00     0.00    0.67    0.33     0.00     0.00    10.67     0.00    1.33    0.00    4.00   1.33   0.13
sdq               0.00     0.00    1.00    0.67     0.01     0.01    16.00     0.00    1.40    0.00    3.50   1.40   0.23
sdr               0.00     0.00    0.67    1.00     0.00     0.01    12.80     0.00    1.80    0.00    3.00   1.80   0.30
sdt               0.00     0.00    2.33    1.00     0.03     0.01    22.40     0.00    0.90    0.00    3.00   0.90   0.30
sds               0.00     0.00    0.67    1.00     0.00     0.01    12.80     0.00    2.00    0.00    3.33   2.00   0.33
sdu               0.00     0.00    0.67    7.00     0.00     0.01     3.48     0.03    4.39    0.00    4.81   2.83   2.17
sdw               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdv               0.00     0.00    0.67   14.33     0.00     0.03     4.33     0.06    3.91    0.50    4.07   2.64   3.97
sda               0.00     0.00    0.00    3.67     0.00     0.02    11.64     0.01    3.55    0.00    3.55   2.09   0.77
dm-0              0.00     0.00    0.00   28.00     0.00     0.22    16.19     0.35   12.49    0.00   12.49   1.07   3.00
sdx               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdy               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdz               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdab              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    1.78    0.50    4.33   1.78   0.53
dm-5              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    1.78    0.50    4.33   1.78   0.53
sdac              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    1.67    0.50    4.00   1.67   0.50
dm-6              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    1.67    0.50    4.00   1.67   0.50
sdad              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-7              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdae              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-8              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaf              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-9              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdag              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-10             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdah              0.00     0.00    0.00    0.33     0.00     0.01    32.00     0.00    5.00    0.00    5.00   5.00   0.17
dm-11             0.00     0.00    0.00    0.33     0.00     0.01    32.00     0.00    5.00    0.00    5.00   5.00   0.17
sdai              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-12             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaj              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-13             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdak              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-14             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdal              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-15             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdam              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-16             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdan              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-17             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdao              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-18             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdap              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-19             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaq              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-20             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdar              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-21             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdas              0.00     0.00    0.00    0.33     0.00     0.01    32.00     0.00    1.00    0.00    1.00   1.00   0.03
dm-22             0.00     0.00    0.00    0.33     0.00     0.01    32.00     0.00    1.00    0.00    1.00   1.00   0.03
sdat              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-23             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdau              0.00     0.00    0.00   13.67     0.00     0.02     2.80     0.07    5.00    0.00    5.00   3.49   4.77
dm-24             0.00     0.00    0.00   13.67     0.00     0.02     2.80     0.07    5.07    0.00    5.07   3.51   4.80

02/17/2020 10:51:58 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.92    0.00    1.01    0.03    0.00   98.03

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdd               0.00     0.00    4.33    2.33     0.00     0.00     1.70     0.01    1.05    0.08    2.86   1.05   0.70
sdf               0.00     0.00    0.33    1.67     0.00     0.01    14.67     0.01    2.67    0.00    3.20   2.67   0.53
sdg               0.00     0.00    0.33    2.00     0.00     0.02    14.86     0.01    2.57    0.00    3.00   2.57   0.60
sdc               0.00     0.00    0.33   16.67     0.04     0.09    16.16     0.17    9.98    6.00   10.06   1.49   2.53
sdi               0.00     0.00    0.33    1.33     0.00     0.01    14.40     0.00    2.20    0.00    2.75   2.20   0.37
sdj               0.00     0.00    1.00    2.67     0.01     0.03    21.09     0.01    2.18    0.00    3.00   2.18   0.80
sdl               0.00     0.00    0.33    1.67     0.00     0.01    14.67     0.00    2.33    0.00    2.80   1.83   0.37
sdh               0.00     0.00    0.33    1.67     0.00     0.02    20.00     0.01    2.83    0.00    3.40   2.83   0.57
sdk               0.00     0.00    0.33    1.67     0.00     0.01    14.67     0.01    2.67    1.00    3.00   2.17   0.43
sdm               0.00     0.00    0.33    1.00     0.00     0.01    12.00     0.00    2.25    0.00    3.00   2.25   0.30
sdn               0.00     0.00    0.33    1.00     0.00     0.01    14.00     0.00    2.50    0.00    3.33   2.50   0.33
