Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/20/2020 	_x86_64_	(128 CPU)

02/20/2020 09:13:22 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.14    0.00    2.05    4.79    0.00   92.02

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sde               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdc               0.00     0.00    0.00    6.00     0.00     0.02     8.00     0.02    2.83    0.00    2.83   1.67   1.00
sdg               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdi               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdd               0.00     0.00   28.00    2.33     0.11     0.00     7.52     0.01    0.31    0.06    3.29   0.31   0.93
sdh               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdk               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdl               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdm               0.00     0.00    0.67    0.33     0.00     0.00     8.00     0.00    1.33    0.00    4.00   1.33   0.13
sdj               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdo               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdp               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdn               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdq               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.50    0.50    0.00   0.50   0.03
sds               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdr               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.50    0.50    0.00   0.50   0.03
sdw               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.50    0.50    0.00   0.50   0.03
sdt               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdu               0.00     0.00    0.67    0.33     0.00     0.00     8.00     0.00    0.33    0.00    1.00   0.33   0.03
sdv               0.00     0.00    0.67    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdx               0.00     0.00    0.67   22.33     0.00     0.04     3.36     0.09    4.07    0.00    4.19   2.78   6.40
sdz               0.00     0.00    1.00    0.33     0.01     0.00    16.00     0.00    2.50    2.33    3.00   2.50   0.33
sdaa              0.00     0.00    0.67    0.67     0.00     0.01    12.00     0.00    3.00    2.50    3.50   2.25   0.30
sdab              0.00     0.00    3.33    1.00     0.02     0.01    16.77     0.01    3.00    2.90    3.33   3.00   1.30
sdy               0.00     0.00    3.00    3.67     0.01     0.01     4.70     0.02    2.85    2.67    3.00   2.85   1.90
