Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/17/2020 	_x86_64_	(64 CPU)

02/17/2020 09:34:15 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.32    0.00    6.66    9.75    0.00   80.27

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
dm-24             0.00     0.00    0.09    7.67     0.00     0.19    50.30     0.12   16.08    5.08   16.21   8.21   6.37

02/17/2020 09:34:18 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.61    0.00    2.19    0.03    0.00   96.17

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdd               0.00     0.00    4.67    2.33     0.00     0.00     1.33     0.01    1.05    0.14    2.86   1.05   0.73
sdc               0.00     0.00    0.00    7.33     0.00     0.10    27.64     0.03    3.41    0.00    3.41   1.91   1.40
sde               0.00     0.00    0.00    1.67     0.00     0.01    16.00     0.01    3.40    0.00    3.40   2.20   0.37
sdg               0.00     0.00    0.00    2.67     0.00     0.02    16.00     0.01    3.25    0.00    3.25   2.25   0.60
sdf               0.00     0.00    0.00    3.67     0.00     0.03    16.00     0.01    3.09    0.00    3.09   2.27   0.83
sdi               0.00     0.00    2.00    5.00     0.03     0.05    22.86     0.02    2.29    0.00    3.20   1.43   1.00
sdh               0.00     0.00    0.00    1.33     0.00     0.01    16.00     0.00    3.25    0.00    3.25   3.25   0.43
sdj               0.00     0.00    0.00    2.00     0.00     0.02    16.00     0.01    3.00    0.00    3.00   3.00   0.60
sdk               0.00     0.00    0.00    1.67     0.00     0.01    16.00     0.01    3.40    0.00    3.40   3.40   0.57
sdl               0.00     0.00    0.00    1.33     0.00     0.01    16.00     0.00    3.00    0.00    3.00   3.00   0.40
sdn               0.00     0.00    0.00    2.33     0.00     0.02    16.00     0.01    3.29    0.00    3.29   2.86   0.67
sdp               0.00     0.00    0.00    5.00     0.00     0.04    16.00     0.02    3.07    0.00    3.07   1.93   0.97
sdo               0.00     0.00    3.33    3.67     0.05     0.03    24.38     0.01    1.76    0.30    3.09   1.29   0.90
sdr               0.00     0.00    0.00    3.67     0.00     0.03    17.45     0.01    3.18    0.00    3.18   2.09   0.77
sdq               0.00     0.00    0.67    3.00     0.01     0.02    18.91     0.01    2.64    0.00    3.22   1.82   0.67
sds               0.00     0.00    0.00    3.67     0.00     0.03    16.00     0.01    3.55    0.00    3.55   2.82   1.03
