Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/20/2020 	_x86_64_	(64 CPU)

02/20/2020 10:36:38 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           4.75    0.00    6.73   15.78    0.00   72.73

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdba              0.00     0.00    0.27    0.00     0.00     0.00     7.99     0.01   27.70   27.72    5.00  27.13   0.74
dm-25             0.00     0.00    0.11    0.00     0.00     0.00     7.99     0.00    3.79    3.78    5.00   3.78   0.04
sdbb              0.00     0.00    0.27   11.73     0.00     0.09    15.46     0.09    7.55    1.72    7.69   4.78   5.74
dm-26             0.00     0.00    0.12   11.73     0.00     0.09    15.56     0.09    7.75    2.09    7.81   4.90   5.81
sdbc              0.00     0.00    0.27    0.00     0.00     0.00     7.99     0.00    4.12    4.12    0.00   3.65   0.10
dm-27             0.00     0.00    0.11    0.00     0.00     0.00     7.99     0.00    3.90    3.90    0.00   3.89   0.04
sdbd              0.00     0.00    0.27    0.00     0.00     0.00     8.00     0.00    3.80    3.80    0.00   3.34   0.09
dm-28             0.00     0.00    0.11    0.00     0.00     0.00     8.00     0.00    3.42    3.42    0.00   3.41   0.04
sdbe              0.00     0.00    0.27    0.00     0.00     0.00     7.98     0.00    1.15    1.15    4.00   1.10   0.03
dm-29             0.00     0.00    0.11    0.00     0.00     0.00     7.95     0.00    1.29    1.29    4.00   1.29   0.01

02/20/2020 10:36:41 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.58    0.00    1.99    0.03    0.00   96.40

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdf               0.00     0.00    0.67    0.33     0.01     0.00    16.00     0.00    1.33    0.00    4.00   1.33   0.13
sdd               0.00     0.00    4.00    2.33     0.00     0.00     1.37     0.01    1.16    0.00    3.14   1.16   0.73
sdc               0.00     0.00    0.00   28.33     0.00     0.25    17.79     0.62   21.86    0.00   21.86   1.47   4.17
sdk               0.00     0.00    1.67    0.00     0.01     0.00    13.00     0.00    0.00    0.00    0.00   0.00   0.00
sdi               0.00     0.00    2.67    0.67     0.04     0.01    28.80     0.00    0.70    0.00    3.50   0.70   0.23
sdl               0.00     0.00    1.33    0.67     0.02     0.00    20.00     0.00    1.17    0.25    3.00   1.17   0.23
sdm               0.00     0.00    1.00    0.00     0.01     0.00    11.00     0.00    0.67    0.67    0.00   0.67   0.07
sdg               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdh               0.00     0.00    0.67    0.00     0.00     0.00     8.50     0.00    0.00    0.00    0.00   0.00   0.00
sdr               0.00     0.00    1.67    0.33     0.02     0.00    21.33     0.00    0.83    0.40    3.00   0.83   0.17
sdq               0.00     0.00    0.00    0.33     0.00     0.00    16.00     0.00    3.00    0.00    3.00   3.00   0.10
sdj               0.00     0.00    0.67    0.00     0.01     0.00    16.00     0.00    0.00    0.00    0.00   0.00   0.00
sds               0.00     0.00    4.33    0.00     0.04     0.00    19.85     0.00    0.15    0.15    0.00   0.15   0.07
sdu               0.00     0.00    0.00   14.00     0.00     0.02     2.98     0.05    3.83    0.00    3.83   2.64   3.70
sdt               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdv               0.00     0.00    0.67    9.00     0.01     0.02     6.07     0.03    3.45    0.00    3.70   2.48   2.40
sdw               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdp               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdn               0.00     0.00    0.33    0.00     0.00     0.00    16.00     0.00    0.00    0.00    0.00   0.00   0.00
sdy               0.00     0.00    0.00    0.33     0.00     0.00     8.00     0.00    4.00    0.00    4.00   4.00   0.13
sdz               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sde               0.00     0.00    0.33    0.67     0.00     0.01    16.00     0.00    2.67    0.00    4.00   1.33   0.13
sdab              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdx               0.00     0.00    0.00    0.33     0.00     0.00     8.00     0.00    3.00    0.00    3.00   3.00   0.10
sdo               0.00     0.00    3.67    0.00     0.05     0.00    30.55     0.00    0.09    0.09    0.00   0.09   0.03
sda               0.00     0.00    0.00    4.00     0.00     0.02     8.00     0.01    3.42    0.00    3.42   1.92   0.77
dm-0              0.00     0.00    0.00   28.33     0.00     0.25    17.79     0.62   21.86    0.00   21.86   1.47   4.17
sdac              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdad              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdae              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaf              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdag              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.00    1.44    0.50    3.33   1.44   0.43
dm-5              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.00    1.44    0.50    3.33   1.44   0.43
sdah              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    1.67    0.67    3.67   1.67   0.50
dm-6              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    1.67    0.67    3.67   1.67   0.50
sdai              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-7              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaj              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-8              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdak              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-9              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdal              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-10             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdam              0.00     0.00    0.00    0.67     0.00     0.01    24.00     0.00    4.50    0.00    4.50   4.50   0.30
dm-11             0.00     0.00    0.00    0.67     0.00     0.01    24.00     0.00    4.50    0.00    4.50   4.50   0.30
sdan              0.00     0.00    0.00    0.33     0.00     0.00    16.00     0.00    4.00    0.00    4.00   4.00   0.13
dm-12             0.00     0.00    0.00    0.33     0.00     0.00    16.00     0.00    4.00    0.00    4.00   4.00   0.13
sdao              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-13             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdap              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-14             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaq              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-15             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdar              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-16             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdas              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-17             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdat              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-18             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdau              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-19             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdav              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-20             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaw              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-21             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdax              0.00     0.00    0.00    0.33     0.00     0.01    32.00     0.00    2.00    0.00    2.00   2.00   0.07
dm-22             0.00     0.00    0.00    0.33     0.00     0.01    32.00     0.00    2.00    0.00    2.00   2.00   0.07
sday              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-23             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaz              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-24             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdba              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-25             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdbb              0.00     0.00    0.00   13.67     0.00     0.02     2.85     0.07    4.93    0.00    4.93   3.27   4.47
dm-26             0.00     0.00    0.00   13.67     0.00     0.02     2.85     0.07    5.05    0.00    5.05   3.34   4.57
sdbc              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-27             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdbd              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-28             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdbe              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-29             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

02/20/2020 10:36:44 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.74    0.00    1.95    0.66    0.00   95.66

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdf               0.00     0.00   87.67    0.00     0.34     0.00     8.00     0.01    0.12    0.12    0.00   0.12   1.03
